ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,SANTOS ARQUIMEDES,VARGAS,VALLE,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,WIL NAPOLEON,VALLE,GOÑAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,ROSALIO,CULQUI,CULQUI,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,DAMIAN,CAMUS,MAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,YANDERI YENAVIERE,SOLORZANO,CAMUS,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,ELENA,MAGALLAN,SOPLA,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,SAMUEL,MASLUCAN,VACALLA,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,ERIK,CUZCO,MAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,EVELIA DEL,CASTILLO,VARGAS,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,CLORIS,PILCO,MASLUCAN,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,JHERSON,VALLE,MONTENEGRO,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,NARCY,SANTILLAN,TOCHON,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,EUGENIO ESLIVAN,TIRADO,ORTIZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,DORIS CELINDA,SANTILLAN,YOPLAC,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,JUAN GILBERTO,VASQUEZ,BECERRA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ERIK,SILVA,ARBILDO,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,JUAN GUALBERTO,MORI,OYARCE,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ROSA VANESSA,SALAZAR,SANCHEZ,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,SEGUNDO PABLO,MAZA,SANCHEZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,CARLOS,CHAVEZ,PEREYRA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,ROSA MARCITA,ROJAS,SILVA,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,SILVIO,SANTILLAN,PEREZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,JOSE ETHAN,ALVA,JULCA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,MAYRA ZULAY,CRUZADO,COTRINA,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,MANUEL,ESPINOZA,ZAMORA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIDOR DISTRITAL,EDGAR EDILBERTO,QUEVEDO,ROJAS,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIDOR DISTRITAL,MARIA SANTOS,SALAZAR,DIAZ,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIDOR DISTRITAL,EDINSON,ESCOBEDO,ALBARADO,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIDOR DISTRITAL,TEODORA,SILVA,LOPEZ,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIDOR DISTRITAL,HEILIN CLIBER,REYNA,MARIN,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JOSE DEMETRIO,BAZAN,TUESTA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,MARLENI YAQUELINI,VASQUEZ,ROJAS,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,LUIS ALBERTO,DEZA,ALVA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,EMITERIO ANTONIO,RAYCO,TELLO,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,YSAIAS,ESCOBAR,CASTREJON,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,SADITH,ROJAS,OYARCE,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,ROBERTO,COTRINA,CHAVEZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,LUIS,SILVA,ROJAS,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,ULISES,ESCALANTE,ABANTO,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,ISABEL,CULQUE,ZALAZAR,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,ESTHER,VASQUEZ,TEJADA,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,ALCIBIADES,DIAZ,REYNA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,EDGAR ANTONIO,VIGO,OYARCE,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,CARLOS MANUEL,PEREGRINO,GOICOCHEA,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,JOSE ANGELES,VILLANUEVA,OLIVARES,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,RICARDO BRIAN,GOICOCHEA,ROJAS,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,GLADYS EXILDA,TEJADA,RODRIGUEZ,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,LUZ MARIA,SILVA,SAAVEDRA,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,JENNER ELEUDORO,ROJAS,CHAVEZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,ALEX,ZABALETA,LOPEZ,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,JHOVANA IVON,BRIONES,CLAROS,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,LAURA ELISABETH,COTRINA,CHUQUIPIONDO,F
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,BERNARDINO,RAMOS,ABANTO,M
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,HIRUEN,HUAMAN,APAESTEGUE,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,FERNANDO ANTONIO,TRIGOSO,ZAGACETA,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,FRANCILES,SANTILLAN,MALDONADO,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,DORIS CONSUELO,SANCHEZ,SANTILLAN,F
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,ROMULO ALFREDO,SANTILLAN,GUEVARA,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,BELMIRA,SANTILLAN,SANTILLAN,F
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,NANCY,MORI,MALDONADO,F
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ALAN HOMERO,CULQUIMBOZ,HUAMAN,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,RODOLFO,CULQUE,MALDONADO,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,LUISA KARINA,REYES,RODRIGUEZ,F
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,OSWALDO,GUEVARA,MALDONADO,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,LLEISON LLULIOS,SANTILLAN,MONTOYA,M
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,LLOHANI,ROJAS,GONZALES,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,JUAN ARILEZ,PILCO,QUIROZ,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,BONIFACIO,CULQUI,PINEDO,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,SILAS,MEZA,CULQUI,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,JAMER,SALAZAR,SANTILLAN,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,MARIA SADITH,TRIGOSO,GOÑAS,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,GLORIA MERCEDES,MAYNA,PICON,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MARIO ANTONIO,MAS,PINEDO,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,LIXMA,CULQUI,MAS,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,ESTELA,SANTILLAN,GOÑAS,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,JULIO CESAR,ECHEVARRIA,SAAVEDRA,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,QUESADA,SAAVEDRA,TRIGOSO,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,MIRLAM,TUESTA,VARGAS,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,JUAN,TORREJON,QUIROZ,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,GERONIMO,PASTOR,TELLO,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,LIZANDRO,VARGAS,CABAÑAS,M
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,VIRGINIA,QUIROZ,CULQUI,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,DANITZA,QUIROZ,MAS,F
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,NORVIL EDELMER,QUIROZ,CHAPPA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,ALEJANDRO,ZELADA,ABANTO,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,TEOLU,GARRIDO,DIAZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,VIDAL,ORTIS,CORTES,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,HEILI,AGUILAR,MARIN,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,GEHISER,RODRIGUEZ,CORTEZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,REGIDOR DISTRITAL,MELITZA,GUEVARA,TAFUR,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,HECTOR,DIAZ,AÑASCO,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,BRITALDO,LOZANO,CHANCAHUANA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ELISABET MARIN,DE,LLAJA,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,MANUEL,CASTREJON,CHAVEZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ROSA EDIT,GARRIDO,VEGA,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,FREDY ALEX,ZABALETA,EPIQUIEN,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,RUSBEL WILSON,ROJAS,CHANCAHUANA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,GERASIMO,LOZANO,CHANCAHUANA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,CHAD KOSHYO,CHAVEZ,CHAVEZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,YORLENY,BARDALES,ZABALETA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,NURE,FARJE,ABANTO,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,MANIE ROSELLY,CHANCAHUANA,ORTIZ,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LLIEBING,ROJAS,ZABALETA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,LEONEL,SANCHEZ,ARAUJO,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,MILLER,CHANCAHUANA,PELAEZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,BANESA,CHAVEZ,ABANTO,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,VELINDA,ZABALETA,CHANCAHUANA,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,ELITA,ROJAS,ALIAGA,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,SAMUEL,RODRIGUEZ,ULLILEN,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,ROSIO,TAFUR,ZABALETA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,JUNIOR,LEIVA,LARA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,DIOGENES CIRILO,PORTAL,FARJE,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,SEGUNDO LORENZO,CHANCAHUANA,ZABALETA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,MILAGROS,RODRIGUEZ,VELASQUEZ,F
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,FROILAN,CRUZ,ROJAS,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,NONESTO,FARJE,PERALTA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,MARWIN DEL,CASTILLO,GUEVARA,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,LUIS OBISPO,EPIQUIEN,RODRIGUEZ,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,ARELITH,GUEVARA,TAFUR,M
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,REGIDOR DISTRITAL,GLORIA,CHAVEZ,ZABALETA,F
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ENOC,PILCO,VALLE,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ROGER,GUAYAMIS,GOMES,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,WILSON MARINO,GOÑAS,MAS,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,PAULINO,ZABALETA,LAPIZ,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,LLARLI GRISELI,MIXAN,LAVAJOS,F
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,EMERITA,LABAJOS,CHECAN,F
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,PEDRO,MASLUCAN,VALLE,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,ROVINSON,CULQUI,GOMEZ,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,GILBERTO,GEBOL,GOMEZ,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,MANUEL NATIVIDAD,PINEDO,HUAMAN,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,ORFELINDA,INGA,CULQUI,F
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,MERCI YOVANI,CANLLA,PINEDO,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,ELIADES,PILCO,GUAYAMIZ,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,MANUEL,MAS,LABAJOS,M
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIDOR DISTRITAL,RIGOBERTO,LAPIZ,ANGULO,M
