ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos,posicion_cedula,origen_apellido,ganador
010201,AMAZONAS,BAGUA,LA PECA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,JAVIER ISABEL,FUENTES,PEREZ,M,80.0,5.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,PARTIDO POPULAR CRISTIANO - PPC,ALCALDE DISTRITAL,JORGE,GOMEZ,CUBAS,M,25.0,6.0,CASTELLANO,0
010202,AMAZONAS,BAGUA,ARAMANGO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,WILIN,ROQUE,QUISPE,M,1546.0,6.0,AYMARA,1
010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,ROBERTO CARLOS,FLOREZ,VILLALOBOS,M,1383.0,1.0,CASTELLANO,0
010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,EUSTACIO,TARRILLO,SEGURA,M,924.0,3.0,CASTELLANO,0
010202,AMAZONAS,BAGUA,ARAMANGO,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,WILTER,ROQUE,RAMIREZ,M,793.0,8.0,AYMARA,0
010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,RAMOS,PAUCAR,VILLARREAL,M,775.0,2.0,QUECHUA,0
010202,AMAZONAS,BAGUA,ARAMANGO,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,MARINO SANTA,CRUZ,TERRONES,M,70.0,7.0,CASTELLANO,0
010202,AMAZONAS,BAGUA,ARAMANGO,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,RUBELINE,LLIQUE,SUAREZ,F,47.0,4.0,CASTELLANO,0
010202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO POPULAR CRISTIANO - PPC,ALCALDE DISTRITAL,GONZALO,ACUÑA,LA TORRE,M,7.0,5.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,NEYLOR,GONZALES,CACERES,M,682.0,7.0,CASTELLANO,1
010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,ELIAS,FERNANDEZ,ARISTA,M,541.0,2.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,JAIME ANTONIO,CUBAS,GUEVARA,M,388.0,9.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,SEGUNDO YSAAC,REQUEJO,REQUEJO,M,377.0,1.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,SAN FORTUNATO,CRUZ,CRUZ,M,367.0,4.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,SEGUNDO PASTOR,FLORES,ROJAS,M,233.0,3.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,LEYTON,TARRILLO,PEREZ,M,109.0,8.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,JAVI,INGA,GUERRERO,M,68.0,5.0,CASTELLANO,0
010203,AMAZONAS,BAGUA,COPALLIN,PARTIDO POPULAR CRISTIANO - PPC,ALCALDE DISTRITAL,NIRIA,PEREZ,LEON,F,42.0,6.0,CASTELLANO,0
010204,AMAZONAS,BAGUA,EL PARCO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,MARCO ANTONIO,CARHUATANTA,JULCA,M,760.0,4.0,CASTELLANO,1
010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MARINA NATIVIDAD,ANGULO,TORRES,F,215.0,2.0,CASTELLANO,0
010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,AMARU JAIRO,TELLO,VASQUEZ,M,116.0,1.0,CASTELLANO,0
010204,AMAZONAS,BAGUA,EL PARCO,PARTIDO POPULAR CRISTIANO - PPC,ALCALDE DISTRITAL,RAFAEL,ABANTO,RIOS,M,9.0,3.0,CASTELLANO,0
010206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,OTONIEL,DANDUCHO,AKINTUI,M,1505.0,4.0,CASTELLANO,1
010206,AMAZONAS,BAGUA,IMAZA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,ENRIQUE,ASANGKAY,DASEM,M,1214.0,12.0,CASTELLANO,0
010206,AMAZONAS,BAGUA,IMAZA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,RODOLFO,ATAMAIN,UNTSUI,M,1159.0,2.0,CASTELLANO,0
010206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,SERGIO,SUWIKAI,TATSE,M,1117.0,6.0,CASTELLANO,0
010206,AMAZONAS,BAGUA,IMAZA,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,FRANKLIN ELI,DANDUCHO,IZQUIERDO,M,796.0,13.0,CASTELLANO,0
010206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ADRIANO,TSEJEM,ASANGKAY,M,734.0,5.0,CASTELLANO,0
