ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,ACCION POPULAR,ALCALDE DISTRITAL,HERMAN RAMIRO,JALK,RUIZ,M,15.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,PEDRO,TUESTA,CULQUI,M,134.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,UNION POR EL PERU,ALCALDE DISTRITAL,WILDER AUGUSTO,BUSTAMANTE,ISLA,M,121.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,EINEN,ROJAS,LOPEZ,M,108.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,SEGUNDO LEONIDAS,YOPLAC,DIAZ,M,85.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,EUBULO AQUINO,GUIOP,ALVARADO,M,56.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ACCION POPULAR,ALCALDE DISTRITAL,JAYME,CAMAN,CAMAN,M,36.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,PEDRO AMADO,HUABLOCHO,CULQUI,M,32.0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,ACCION POPULAR,ALCALDE DISTRITAL,ZONIA MARIA,NEGRON,TAFUR,F,252.0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,JUAN,PINEDO,COMECA,M,220.0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,SEGUNDO ANAXIMANDRO,HUAMAN,SOPLA,M,202.0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JUAN MANUEL,CALAMPA,RAMOS,M,125.0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ADALBERTO,ROJAS,GUTIERREZ,M,166.0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,ADALID,ROJAS,TAFUR,M,133.0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,EMILFERO,EPQUIN,ROJAS,M,129.0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,ACCION POPULAR,ALCALDE DISTRITAL,MANZONI,VIGO,BAZAN,,8.0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,NILCER,VARGAS,LAPIZ,M,118.0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,VICTOR RAUL,CULQUI,PUERTA,M,74.0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,PERSI,MAS,VARGAS,,31.0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,FLORENCIO,MIXAN,CAMUS,M,25.0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,ACCION POPULAR,ALCALDE DISTRITAL,BRAULIO BALDEMAR,GOÑAS,CULQUI,M,192.0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,GERARDO,GOMEZ,TRIGOSO,M,133.0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,ELIAZAR,MIXAN,GOMEZ,M,64.0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,ACCION POPULAR,ALCALDE DISTRITAL,LUDMILIA,CULQUIMBOZ,RUIZ,F,78.0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,ALCIDES,SANTILLAN,DIAZ,M,58.0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,UNION POR EL PERU,ALCALDE DISTRITAL,JORGE WILIAN,ZUTA,SALDAÑA,M,48.0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,HERMES ANTONIO,MENDOZA,MAZUELOS,M,24.0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JOSE ANIBAL,SANTILLAN,VASQUEZ,M,123.0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,LUIS MARINO,ALVAREZ,VIGO,M,113.0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JHENRRY GERALD,SALON,MONTOYA,M,95.0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,ACCION POPULAR,ALCALDE DISTRITAL,CELSO ALEJANDRO,SANTILLAN,PICON,M,32.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,UNION POR EL PERU,ALCALDE DISTRITAL,CENOVIO,LOJA,CULQUI,M,224.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,TEOFILO,TOCHON,SANTILLAN,M,207.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,FILIBERTO,TAFUR,TORREJON,M,76.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,MARTINA,ALVARADO,CHUQUI,F,71.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,ACCION POPULAR,ALCALDE DISTRITAL,WALTER HOMERO,TUESTA,BARDALES,M,55.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,MAXIMO,CHUQUI,LUCANA,M,39.0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,SEGUNDO MIGUEL,GARCIA,ALVARADO,M,90.0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MANUEL RIGOBERTO,LOPEZ,CASTRO,M,73.0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,UNION POR EL PERU,ALCALDE DISTRITAL,CESAR AUGUSTO,SANCHEZ,SOPLA,M,15.0
010201,AMAZONAS,BAGUA,LA PECA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,TEODORO,HERNANDEZ,SANCHEZ,M,873.0
010201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ZACARIAS,JARA,CABRERA,M,789.0
010201,AMAZONAS,BAGUA,LA PECA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JUAN EDUARDO,APONTE,MONTEZA,M,557.0
010201,AMAZONAS,BAGUA,LA PECA,ACCION POPULAR,ALCALDE DISTRITAL,ANAXIMANDRO,ROJAS,GIL,M,530.0
010201,AMAZONAS,BAGUA,LA PECA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,JUAN JUVENAL,BAZAN,CASTILLO,M,158.0
010201,AMAZONAS,BAGUA,LA PECA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,RAUL,SUAREZ,VISLAO,M,61.0
010202,AMAZONAS,BAGUA,ARAMANGO,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,EUSTACIO,TARRILLO,SEGURA,M,1627.0
010202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ROBERTO CARLOS,FLOREZ,VILLALOBOS,M,1091.0
010202,AMAZONAS,BAGUA,ARAMANGO,ACCION POPULAR,ALCALDE DISTRITAL,CESAR,CORDOVA,GONZALES,M,785.0
010202,AMAZONAS,BAGUA,ARAMANGO,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,ROBERTO,SILVA,VALDIVIA,M,235.0
010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,SALVADOR,RAMIREZ,PASAPERA,M,181.0
010202,AMAZONAS,BAGUA,ARAMANGO,UNION POR EL PERU,ALCALDE DISTRITAL,GERMAN,RODRIGUEZ,BECERRA,M,122.0
010202,AMAZONAS,BAGUA,ARAMANGO,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,SALOMON,CAYOTOPA,OSORIO,M,99.0
010202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,RUBELINE,LLIQUE,SUAREZ,,76.0
010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JAIME ANTONIO,CUBAS,GUEVARA,M,802.0
010203,AMAZONAS,BAGUA,COPALLIN,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,ENILO,CRUZ,CRUZ,M,543.0
010203,AMAZONAS,BAGUA,COPALLIN,ACCION POPULAR,ALCALDE DISTRITAL,NEYLOR,GONZALES,CACERES,M,412.0
010203,AMAZONAS,BAGUA,COPALLIN,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,WILFREDO,GUERRERO,CARRASCO,M,352.0
010203,AMAZONAS,BAGUA,COPALLIN,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,ABEL,DIAZ,IDROGO,M,134.0
010204,AMAZONAS,BAGUA,EL PARCO,ACCION POPULAR,ALCALDE DISTRITAL,ABSALON,CARDOZO,DIAZ,M,335.0
010204,AMAZONAS,BAGUA,EL PARCO,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JOSE GLORIOSO,AGUILAR,MENDOZA,M,312.0
010204,AMAZONAS,BAGUA,EL PARCO,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,WILDER,CHUQUILIN,ARBILDO,M,138.0
010204,AMAZONAS,BAGUA,EL PARCO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,WALTHER,CERNA,SOLIS,M,87.0
010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LUCILA MARGARITA,BARBOZA,ALVAREZ,F,57.0
010204,AMAZONAS,BAGUA,EL PARCO,UNION POR EL PERU,ALCALDE DISTRITAL,ALFREDO,GRANADOS,SOSA,M,16.0
010206,AMAZONAS,BAGUA,IMAZA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,SERGIO,SUWIKAI,TATSE,M,861.0
010206,AMAZONAS,BAGUA,IMAZA,VISION AL FUTURO,ALCALDE DISTRITAL,JOSE,LIRIO,YANGUA,M,788.0
010206,AMAZONAS,BAGUA,IMAZA,PARTIDO SOCIALISTA,ALCALDE DISTRITAL,RODOLFO,ATAMAIN,UNTSUI,M,711.0
010206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,ALCALDE DISTRITAL,OTONIEL,DANDUCHO,AKINTUI,M,665.0
010206,AMAZONAS,BAGUA,IMAZA,ACCION POPULAR,ALCALDE DISTRITAL,DEMETRIO,CHIROQUE,MORALES,M,558.0
010206,AMAZONAS,BAGUA,IMAZA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,FRANCO WALDEMAR,BECERRA,ALARCON,M,365.0
010206,AMAZONAS,BAGUA,IMAZA,UNION POR EL PERU,ALCALDE DISTRITAL,SAMUEL,TSEJEM,INTAY,M,342.0
010206,AMAZONAS,BAGUA,IMAZA,PERU AHORA,ALCALDE DISTRITAL,ERNESTO,ANTUASH,JEMPE,M,333.0
010206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,EDINSON,SHAJIAN,HIDALGO,M,258.0
010206,AMAZONAS,BAGUA,IMAZA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,ANTONIO,BAKUANTS,TSAPIK,M,229.0
010206,AMAZONAS,BAGUA,IMAZA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,BARTOLOME,INOACH,SHAWIT,,222.0
010206,AMAZONAS,BAGUA,IMAZA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,VALENTIN,SHIMPUKAT,ATSASUA,M,216.0
010206,AMAZONAS,BAGUA,IMAZA,ENERGIA COMUNAL AMAZONICA,ALCALDE DISTRITAL,JUANITO,KUNCHIKUI,AKUTS,M,81.0
010302,AMAZONAS,BONGARA,COROSHA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LEOPOLDO,IRIGOIN,OLIVERA,M,96.0
010302,AMAZONAS,BONGARA,COROSHA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,ROLANDO,DAZA,BUSTAMANTE,M,66.0
010302,AMAZONAS,BONGARA,COROSHA,ACCION POPULAR,ALCALDE DISTRITAL,VICTOR,TOCTO,GUEVARA,M,61.0
010302,AMAZONAS,BONGARA,COROSHA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,MARINO,PILCO,GOMEZ,M,57.0
010302,AMAZONAS,BONGARA,COROSHA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,WILIAM HUMBERTO,GOÑAS,HUAMAN,M,46.0
010302,AMAZONAS,BONGARA,COROSHA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,SEGUNDO MARCOS,HERRERA,FERNANDEZ,M,25.0
010303,AMAZONAS,BONGARA,CUISPES,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,PEDRO ANTONIO,MORI,ROJAS,M,148.0
010303,AMAZONAS,BONGARA,CUISPES,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MARCELINO,VILLEGAS,DAZA,M,132.0
010303,AMAZONAS,BONGARA,CUISPES,ACCION POPULAR,ALCALDE DISTRITAL,DANIEL,GUIOP,HUAMAN,M,65.0
010303,AMAZONAS,BONGARA,CUISPES,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,RODGERS,CHASQUIBOL,GOÑAS,M,45.0
010304,AMAZONAS,BONGARA,CHISQUILLA,ACCION POPULAR,ALCALDE DISTRITAL,JOSE NATIVIDAD,BACALLA,DAZA,M,80.0
010304,AMAZONAS,BONGARA,CHISQUILLA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,JUAN ANTONINO,LOPEZ,PUERTA,M,66.0
010304,AMAZONAS,BONGARA,CHISQUILLA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JUAN ANANIAS,PUERTA,NUNCEVAY,M,37.0
010304,AMAZONAS,BONGARA,CHISQUILLA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ALFONSO,QUISPE,BAZAN,M,34.0
010305,AMAZONAS,BONGARA,CHURUJA,ACCION POPULAR,ALCALDE DISTRITAL,MIGUEL ANGEL,MEZA,PERALTA,M,101.0
010305,AMAZONAS,BONGARA,CHURUJA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ANDRES,DIAZ,FERNANDEZ,M,83.0
010305,AMAZONAS,BONGARA,CHURUJA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,MARIA JESUS URQUIA,DE,VELEZ,F,70.0
010305,AMAZONAS,BONGARA,CHURUJA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,WUILMER,ALTAMIRANO,ZABARBURU,M,22.0
010306,AMAZONAS,BONGARA,FLORIDA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JOSE,CATPO,DETT,M,779.0
010306,AMAZONAS,BONGARA,FLORIDA,ACCION POPULAR,ALCALDE DISTRITAL,PERCY OSWALDO,CHAVEZ,ESCALANTE,M,603.0
010306,AMAZONAS,BONGARA,FLORIDA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,BARTOLOME,DETT,ARISTA,,269.0
010306,AMAZONAS,BONGARA,FLORIDA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ALCIDES,VALLEJOS,CATPO,M,129.0
010306,AMAZONAS,BONGARA,FLORIDA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,AQUILES,VALLE,TUESTA,M,128.0
010307,AMAZONAS,BONGARA,RECTA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JOSE,JULIAN,OCAMPO,M,180.0
010307,AMAZONAS,BONGARA,RECTA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,MARIA LOPEZ,DE,MASLUCAN,F,51.0
010307,AMAZONAS,BONGARA,RECTA,ACCION POPULAR,ALCALDE DISTRITAL,MANUEL JESUS,LOPEZ,GOLAC,M,48.0
010308,AMAZONAS,BONGARA,SAN CARLOS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,LUIS,YOMONA,CULQUI,M,108.0
010308,AMAZONAS,BONGARA,SAN CARLOS,ACCION POPULAR,ALCALDE DISTRITAL,RAMIRO,GUIVIN,CHOCHABOT,M,91.0
010308,AMAZONAS,BONGARA,SAN CARLOS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,TOBIAS,GOMEZ,CONCHE,M,71.0
010308,AMAZONAS,BONGARA,SAN CARLOS,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,GILBERTO JOSE,CHUQUIZUTA,PEREZ,M,28.0
010308,AMAZONAS,BONGARA,SAN CARLOS,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,GUSTAVO,LLAJA,DAZA,M,25.0
010309,AMAZONAS,BONGARA,SHIPASBAMBA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,NOE,ROJAS,PILCO,F,113.0
010309,AMAZONAS,BONGARA,SHIPASBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LILIAM ELIZABETH,DIAZ,CORBERA,M,73.0
010309,AMAZONAS,BONGARA,SHIPASBAMBA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,NAPOLEON,VALLE,MOSILOT,M,65.0
